T,1,10000,10000
V,1,1,76
V,1,2,79,1
V,1,3,104,2
V,1,4,997,3
V,1,5,425,4
V,1,6,95,5
V,1,7,102,6
V,1,8,232,7
V,1,9,647,8
V,1,10,219,9
T,2,10000,10000
V,2,1,29
V,2,2,9,1
V,2,3,109,2
V,2,4,4,3
V,2,5,1,4
V,2,6,173,5
V,2,7,6,6
V,2,8,127,7
V,2,9,85,8
T,3,10000,10000
V,3,1,713
V,3,2,92,1
V,3,3,143,2
V,3,4,13,3
V,3,5,468,4
V,3,6,69,5
V,3,7,131,6
T,4,10000,10000
V,4,1,4
V,4,2,67,1
V,4,3,795,2
V,4,4,99,3
V,4,5,17,4
V,4,6,86,5
T,5,10000,10000
V,5,1,489
V,5,2,10,1
V,5,3,112,2
V,5,4,111,3
V,5,5,68,4
V,5,6,101,5
T,6,20000,20000
V,6,1,1017
V,6,2,23,1
V,6,3,229,2
V,6,4,298,3
V,6,5,919,4
V,6,6,106,5
V,6,7,207,6
V,6,8,877,7
V,6,9,100,8
V,6,10,83,9
T,7,20000,20000
V,7,1,74
V,7,2,1,1
V,7,3,177,2
V,7,4,307,3
V,7,5,318,4
V,7,6,9,5
V,7,7,10,6
T,8,20000,20000
V,8,1,239
V,8,2,2300,1
V,8,3,906,2
V,8,4,986,3
V,8,5,1190,4
T,9,20000,20000
V,9,1,253
V,9,2,547,1
V,9,3,406,2
V,9,4,630,3
V,9,5,449,4
T,10,50000,50000
V,10,1,491
V,10,2,904,1
V,10,3,285,2
V,10,4,427,3
V,10,5,801,4
V,10,6,1215,5
T,11,100000,100000
V,11,1,4719
V,11,2,950,1
V,11,3,1608,2
V,11,4,623,3
V,11,5,681,4
T,12,100000,100000
V,12,1,313
V,12,2,808,1
V,12,3,776,2
V,12,4,1871,3
V,12,5,6410,4
V,12,6,562,5
T,13,100000,100000
V,13,1,3192
V,13,2,75,1
V,13,3,63,2
V,13,4,2766,3
V,13,5,5,4
V,13,6,96,5
V,13,7,135,6
V,13,8,1232,7
V,13,9,2015,8
V,13,10,4373,9
T,14,100000,100000
V,14,1,3390
V,14,2,1172,1
V,14,3,808,2
V,14,4,2469,3
V,14,5,6966,4
T,15,100000,100000
V,15,1,250
V,15,2,5476,1
V,15,3,188,2
V,15,4,249,3
V,15,5,1821,4
V,15,6,3377,5
T,16,100000,100000
V,16,1,2562
V,16,2,4174,1
V,16,3,13395,2
V,16,4,1230,3
V,16,5,982,4
V,16,6,5785,5
V,16,7,6635,6
V,16,8,3490,7
